id_operacao,id_cooperativa,id_cliente,linha_credito,cultura,valor_operacao,data_contratacao,data_vencimento,taxa_juros,status,dias_atraso,regiao,estado
1,9,1925,Pronaf,Café,167290.00851884994,2024-06-10 01:55:22.165068,2026-04-25 01:55:22.202074,8.619606893387884,Ativo,0,Sul,MT
2,25,1283,Investimento,Café,522306.04508220626,2024-07-27 01:55:22.165084,2025-10-27 01:55:22.202080,4.895687129519834,Liquidado,0,Sul,PR
3,4,2126,Investimento,Milho,225258.39929246125,2024-12-11 01:55:22.165090,2025-11-14 01:55:22.202085,11.130364499051518,Ativo,0,Norte,MG
4,40,4128,Pronaf,Cana-de-açúcar,310449.32841786416,2024-06-23 01:55:22.165095,2025-12-04 01:55:22.202089,6.985671604688225,Vencido,45,Sul,RS
5,24,324,Pronaf,Algodão,420080.27783942,2024-05-23 01:55:22.165099,2025-12-03 01:55:22.202092,5.071001132924147,Ativo,0,Sul,RS
6,16,830,Comercialização,Café,322268.6869453815,2023-08-06 01:55:22.165103,2026-03-21 01:55:22.202096,4.9942081052516,Liquidado,0,Nordeste,MT
7,49,2070,Pronamp,Soja,428127.1195626615,2024-09-25 01:55:22.165107,2025-10-08 01:55:22.202100,6.897490443771341,Ativo,0,Centro-Oeste,MG
8,11,3413,Pronamp,Cana-de-açúcar,279033.56623982027,2024-12-21 01:55:22.165111,2026-01-10 01:55:22.202103,7.048357929880236,Vencido,104,Sudeste,GO
9,31,817,Pronaf,Soja,217052.85708012647,2023-09-14 01:55:22.165114,2026-05-18 01:55:22.202106,14.262997495779551,Ativo,0,Sudeste,RS
10,35,1149,Pronamp,Soja,414733.4473564963,2023-07-15 01:55:22.165118,2026-03-10 01:55:22.202110,10.122121241503109,Ativo,0,Sudeste,BA
11,3,60,Comercialização,Cana-de-açúcar,294691.69089617865,2024-05-17 01:55:22.165122,2025-08-30 01:55:22.202113,9.251683590425841,Ativo,0,Sudeste,GO
12,35,4300,Custeio,Algodão,167660.44741161223,2025-04-26 01:55:22.165126,2026-01-20 01:55:22.202117,11.257200804956241,Vencido,178,Nordeste,SP
13,15,2397,Comercialização,Soja,350778.9772009327,2024-08-04 01:55:22.165130,2026-05-23 01:55:22.202120,6.993772568038631,Ativo,0,Sudeste,BA
14,35,2596,Comercialização,Algodão,529846.2917268511,2024-08-12 01:55:22.165133,2025-10-07 01:55:22.202124,13.014797913460047,Vencido,80,Norte,GO
15,50,2820,Custeio,Café,280247.57457163866,2025-05-23 01:55:22.165137,2026-05-10 01:55:22.202127,9.452129003159676,Ativo,0,Centro-Oeste,SP
16,49,4803,Pronaf,Milho,296868.5843134748,2024-05-01 01:55:22.165140,2025-12-26 01:55:22.202131,6.349404755450001,Liquidado,0,Norte,SP
17,25,1398,Investimento,Soja,187501.71698346687,2025-03-08 01:55:22.165144,2025-09-26 01:55:22.202134,9.036340346187123,Ativo,0,Nordeste,SP
18,16,1195,Pronaf,Soja,244739.53996999422,2024-07-18 01:55:22.165148,2025-11-09 01:55:22.202138,8.628551453352145,Ativo,0,Sul,MG
19,37,4449,Custeio,Soja,255603.1977554111,2023-08-31 01:55:22.165151,2025-10-24 01:55:22.202141,10.252508333416472,Vencido,174,Nordeste,PR
20,44,2091,Custeio,Milho,494347.2542646151,2024-07-17 01:55:22.165155,2026-05-08 01:55:22.202144,7.07262831332438,Ativo,0,Nordeste,GO
21,17,454,Custeio,Soja,167769.75313610956,2024-03-29 01:55:22.165158,2025-12-06 01:55:22.202148,9.941168347076024,Ativo,0,Sudeste,PR
22,10,710,Comercialização,Soja,325224.85864667967,2024-09-17 01:55:22.165162,2025-09-15 01:55:22.202151,6.467755651816647,Ativo,0,Sudeste,MT
23,30,73,Comercialização,Soja,390064.9555453595,2023-12-14 01:55:22.165165,2026-02-17 01:55:22.202154,10.07884645391896,Ativo,0,Centro-Oeste,BA
24,23,3103,Pronamp,Milho,201553.56435404764,2023-07-18 01:55:22.165172,2025-08-13 01:55:22.202158,8.611984004532541,Ativo,0,Sudeste,MT
25,3,2092,Comercialização,Algodão,527574.1750440224,2024-12-14 01:55:22.165176,2025-09-05 01:55:22.202161,8.651745316290834,Ativo,0,Centro-Oeste,GO
26,28,4735,Comercialização,Algodão,210262.7522918645,2024-06-10 01:55:22.165180,2026-05-03 01:55:22.202165,6.568121858561782,Vencido,13,Sudeste,PR
27,45,1695,Investimento,Soja,329143.17709602055,2024-10-15 01:55:22.165183,2025-12-04 01:55:22.202168,6.55671551764191,Vencido,137,Sudeste,BA
28,5,1126,Investimento,Milho,269174.5522644795,2025-01-19 01:55:22.165187,2025-09-13 01:55:22.202172,7.856330904818956,Ativo,0,Nordeste,BA
29,32,2730,Custeio,Cana-de-açúcar,392561.4818097857,2023-08-17 01:55:22.165191,2025-10-04 01:55:22.202175,4.917915641097807,Ativo,0,Norte,GO
30,2,4735,Investimento,Cana-de-açúcar,318008.11829275335,2024-03-23 01:55:22.165194,2025-09-13 01:55:22.202178,4.192337944622111,Ativo,0,Nordeste,GO
31,14,4557,Custeio,Algodão,238972.71510050396,2024-11-22 01:55:22.165198,2026-06-21 01:55:22.202182,7.222235098192799,Ativo,0,Sudeste,MT
32,20,4679,Investimento,Milho,385592.7264685787,2025-02-25 01:55:22.165202,2025-12-20 01:55:22.202185,7.117892236610172,Ativo,0,Sudeste,BA
33,37,1352,Pronamp,Café,274212.2568391735,2024-06-10 01:55:22.165205,2025-08-21 01:55:22.202189,12.29982454306143,Ativo,0,Nordeste,BA
34,5,1736,Investimento,Soja,211303.7794501142,2024-11-28 01:55:22.165209,2025-08-19 01:55:22.202192,8.84213378091101,Ativo,0,Norte,RS
35,28,2012,Comercialização,Cana-de-açúcar,297888.9864490773,2024-07-10 01:55:22.165213,2026-04-12 01:55:22.202196,10.890615063167182,Vencido,50,Norte,PR
36,4,4110,Pronamp,Algodão,249670.31926434723,2024-01-27 01:55:22.165216,2026-02-24 01:55:22.202199,10.736540931424601,Ativo,0,Norte,MG
37,8,1128,Pronamp,Milho,238233.92262672348,2024-10-25 01:55:22.165220,2025-12-21 01:55:22.202202,6.375466468933777,Ativo,0,Sudeste,RS
38,50,2251,Comercialização,Milho,312189.0858300367,2023-10-29 01:55:22.165223,2025-12-04 01:55:22.202206,11.384846811640148,Liquidado,0,Nordeste,SP
39,48,636,Pronaf,Algodão,13195.459659118205,2025-07-02 01:55:22.165227,2026-01-13 01:55:22.202209,6.335194829510742,Ativo,0,Centro-Oeste,GO
40,2,990,Comercialização,Café,397268.089881882,2025-06-26 01:55:22.165230,2026-02-22 01:55:22.202212,11.269019337993923,Ativo,0,Sul,MT
41,15,3709,Pronaf,Soja,181580.37439510436,2024-11-05 01:55:22.165234,2025-08-25 01:55:22.202216,8.143777488659898,Ativo,0,Nordeste,SP
42,8,3124,Custeio,Algodão,324957.6181294612,2023-08-09 01:55:22.165238,2026-02-18 01:55:22.202220,9.93814834987275,Ativo,0,Sudeste,GO
43,17,2772,Comercialização,Café,307022.11356736196,2025-03-11 01:55:22.165241,2025-08-23 01:55:22.202223,5.168424259843354,Vencido,85,Sudeste,BA
44,3,3328,Custeio,Cana-de-açúcar,92599.7718963055,2024-11-21 01:55:22.165245,2026-01-24 01:55:22.202226,7.179595397224389,Ativo,0,Sul,GO
45,42,4777,Investimento,Algodão,118845.42440319393,2024-04-17 01:55:22.165248,2026-03-14 01:55:22.202230,9.433740742441854,Ativo,0,Sul,GO
46,31,764,Custeio,Soja,319782.81026840745,2024-04-25 01:55:22.165252,2025-11-28 01:55:22.202233,10.991651236234933,Liquidado,0,Norte,SP
47,20,3625,Custeio,Soja,356447.9714337201,2025-02-24 01:55:22.165255,2025-08-28 01:55:22.202236,9.063733064155597,Liquidado,0,Norte,MT
48,35,4312,Custeio,Café,231118.74895601702,2024-04-08 01:55:22.165259,2026-05-25 01:55:22.202240,10.423407927187,Ativo,0,Sudeste,PR
49,28,1077,Comercialização,Algodão,169743.80445859488,2023-11-27 01:55:22.165262,2026-04-10 01:55:22.202243,7.340488836883281,Liquidado,0,Sudeste,MG
50,47,761,Custeio,Cana-de-açúcar,135363.18917513313,2024-11-29 01:55:22.165266,2025-12-24 01:55:22.202247,12.253177382279361,Ativo,0,Sudeste,BA
51,50,3013,Pronaf,Cana-de-açúcar,280372.58278043417,2025-03-02 01:55:22.165269,2025-11-09 01:55:22.202250,9.245633373940787,Ativo,0,Sul,MT
52,31,1085,Pronamp,Café,257881.48102077423,2024-08-26 01:55:22.165273,2025-10-12 01:55:22.202254,12.418727521757093,Liquidado,0,Sul,MG
53,49,624,Custeio,Cana-de-açúcar,189059.29825242813,2024-04-12 01:55:22.165276,2026-05-25 01:55:22.202257,10.381330121848254,Ativo,0,Sudeste,GO
54,48,4122,Pronamp,Milho,155902.75719945354,2025-06-22 01:55:22.165280,2026-06-16 01:55:22.202261,10.619371432446606,Ativo,0,Centro-Oeste,MG
55,40,1391,Pronamp,Algodão,148467.94209653788,2023-12-08 01:55:22.165283,2025-09-30 01:55:22.202264,5.946833787034379,Vencido,1,Centro-Oeste,GO
56,46,3719,Custeio,Soja,317739.8713663217,2024-08-24 01:55:22.165287,2026-05-08 01:55:22.202268,8.940688891062079,Liquidado,0,Centro-Oeste,BA
57,39,1547,Investimento,Milho,122219.10084318512,2024-11-18 01:55:22.165291,2025-11-22 01:55:22.202271,8.065372826037093,Ativo,0,Sudeste,BA
58,45,85,Custeio,Algodão,433227.87086618616,2024-07-29 01:55:22.165294,2025-11-24 01:55:22.202275,7.282484992923527,Ativo,0,Sudeste,RS
59,19,4023,Comercialização,Café,219600.7004542179,2025-01-12 01:55:22.165298,2025-12-06 01:55:22.202278,5.734342743727876,Ativo,0,Norte,RS
